data_timestep;lane_id;lane_queueing_length;lane_queueing_length_experimental;lane_queueing_time
0.00;;;;
1.00;;;;
2.00;;;;
3.00;;;;
4.00;;;;
5.00;;;;
6.00;;;;
7.00;;;;
8.00;;;;
9.00;;;;
10.00;;;;
11.00;;;;
12.00;;;;
13.00;;;;
14.00;;;;
15.00;;;;
16.00;;;;
17.00;;;;
18.00;;;;
19.00;;;;
20.00;;;;
21.00;;;;
22.00;;;;
23.00;;;;
24.00;;;;
25.00;;;;
26.00;;;;
27.00;;;;
28.00;;;;
29.00;;;;
30.00;;;;
31.00;;;;
32.00;;;;
33.00;;;;
34.00;;;;
35.00;;;;
36.00;;;;
37.00;;;;
38.00;;;;
39.00;;;;
40.00;;;;
41.00;;;;
42.00;;;;
43.00;;;;
44.00;;;;
45.00;;;;
46.00;;;;
47.00;;;;
48.00;;;;
49.00;;;;
50.00;;;;
51.00;;;;
52.00;;;;
53.00;;;;
54.00;;;;
55.00;;;;
56.00;;;;
57.00;;;;
58.00;;;;
59.00;;;;
60.00;;;;
61.00;;;;
62.00;;;;
63.00;;;;
64.00;;;;
65.00;;;;
66.00;;;;
67.00;;;;
68.00;;;;
69.00;;;;
70.00;;;;
71.00;;;;
72.00;;;;
73.00;;;;
74.00;;;;
75.00;;;;
76.00;;;;
77.00;;;;
78.00;;;;
79.00;;;;
80.00;;;;
81.00;;;;
82.00;;;;
83.00;;;;
84.00;;;;
85.00;;;;
86.00;;;;
87.00;;;;
88.00;;;;
89.00;;;;
90.00;1to2_0;0.00;6.03;0.00
91.00;1to2_0;6.01;6.01;1.00
92.00;1to2_0;6.00;6.00;2.00
93.00;1to2_0;6.00;6.00;3.00
94.00;1to2_0;6.00;6.00;4.00
95.00;1to2_0;6.00;6.00;5.00
96.00;1to2_0;6.00;13.71;6.00
96.00;1to2_1;0.00;6.12;0.00
97.00;1to2_0;6.00;13.57;7.00
97.00;1to2_1;6.05;6.05;1.00
98.00;1to2_0;13.52;13.52;8.00
98.00;1to2_1;6.01;6.01;2.00
99.00;1to2_0;13.50;13.50;9.00
99.00;1to2_1;6.00;6.00;3.00
100.00;1to2_0;13.50;13.50;10.00
100.00;1to2_1;6.00;6.00;4.00
101.00;1to2_0;13.50;13.50;11.00
101.00;1to2_1;13.50;13.50;5.00
102.00;1to2_0;13.50;13.50;12.00
102.00;1to2_1;13.50;13.50;6.00
103.00;1to2_0;13.50;13.50;13.00
103.00;1to2_1;13.50;13.50;7.00
104.00;1to2_0;21.01;21.01;14.00
104.00;1to2_1;13.50;13.50;8.00
105.00;1to2_0;21.00;21.00;15.00
105.00;1to2_1;13.50;13.50;9.00
106.00;1to2_0;21.00;21.00;16.00
106.00;1to2_1;13.50;13.50;10.00
107.00;1to2_0;21.00;21.00;17.00
107.00;1to2_1;13.50;13.50;11.00
108.00;1to2_0;21.00;21.00;18.00
108.00;1to2_1;13.50;13.50;12.00
109.00;1to2_0;21.00;21.00;19.00
109.00;1to2_1;13.50;13.50;13.00
110.00;1to2_0;21.00;21.00;20.00
110.00;1to2_1;13.50;13.50;14.00
111.00;1to2_0;21.00;21.00;21.00
111.00;1to2_1;21.03;21.03;15.00
112.00;1to2_0;21.00;21.00;22.00
112.00;1to2_1;21.01;21.01;16.00
113.00;1to2_0;21.00;21.00;23.00
113.00;1to2_1;21.01;21.01;17.00
114.00;1to2_0;21.00;21.00;24.00
114.00;1to2_1;21.00;21.00;18.00
115.00;1to2_0;21.00;21.00;25.00
115.00;1to2_1;21.00;21.00;19.00
116.00;1to2_0;21.00;21.00;26.00
116.00;1to2_1;21.00;21.00;20.00
117.00;1to2_0;21.00;21.00;27.00
117.00;1to2_1;21.00;21.00;21.00
118.00;1to2_0;21.00;21.00;28.00
118.00;1to2_1;21.00;21.00;22.00
119.00;1to2_0;21.00;21.00;29.00
119.00;1to2_1;21.00;21.00;23.00
120.00;1to2_0;21.00;21.00;30.00
120.00;1to2_1;21.00;21.00;24.00
121.00;1to2_0;21.00;21.00;31.00
121.00;1to2_1;21.00;21.00;25.00
122.00;1to2_0;21.00;21.00;32.00
122.00;1to2_1;21.00;21.00;26.00
123.00;1to2_0;21.00;21.00;33.00
123.00;1to2_1;21.00;21.00;27.00
124.00;1to2_0;28.50;28.50;34.00
124.00;1to2_1;21.00;21.00;28.00
125.00;1to2_0;28.50;28.50;35.00
125.00;1to2_1;21.00;21.00;29.00
126.00;1to2_0;28.50;28.50;36.00
126.00;1to2_1;21.00;21.00;30.00
127.00;1to2_0;28.50;28.50;37.00
127.00;1to2_1;21.00;21.00;31.00
128.00;1to2_0;28.50;28.50;38.00
128.00;1to2_1;21.00;21.00;32.00
129.00;1to2_0;28.50;28.50;39.00
129.00;1to2_1;21.00;21.00;33.00
130.00;1to2_0;28.50;28.50;40.00
130.00;1to2_1;21.00;21.00;34.00
131.00;1to2_0;28.50;28.50;41.00
131.00;1to2_1;21.00;21.00;35.00
132.00;1to2_0;28.50;28.50;42.00
132.00;1to2_1;28.50;28.50;36.00
133.00;1to2_0;36.01;36.01;43.00
133.00;1to2_1;36.01;36.01;37.00
134.00;1to2_0;36.01;43.87;44.00
134.00;1to2_1;36.01;43.55;38.00
135.00;1to2_0;36.01;51.88;38.00
135.00;1to2_1;43.53;43.53;35.00
136.00;1to2_0;43.52;51.33;33.00
136.00;1to2_1;43.51;43.51;26.00
137.00;1to2_0;43.51;51.17;14.00
137.00;1to2_1;43.51;51.70;6.00
138.00;1to2_0;43.51;51.02;6.00
138.00;1to2_1;43.51;51.02;6.00
139.00;1to2_0;51.01;51.01;4.00
139.00;1to2_1;51.01;51.01;5.00
140.00;1to2_0;51.01;51.01;2.00
140.00;1to2_1;51.01;51.01;2.00
141.00;1to2_0;50.92;50.92;3.00
141.00;1to2_1;0.00;50.88;0.00
142.00;1to2_0;0.00;50.41;0.00
142.00;1to2_1;0.00;58.42;0.00
143.00;1to2_0;0.00;58.16;0.00
144.00;1to2_0;0.00;57.16;0.00
145.00;;;;
146.00;;;;
147.00;;;;
148.00;;;;
149.00;;;;
150.00;;;;
151.00;;;;
152.00;;;;
153.00;;;;
154.00;;;;
155.00;;;;
156.00;;;;
157.00;;;;
158.00;;;;
159.00;;;;
160.00;;;;
161.00;;;;
162.00;;;;
163.00;;;;
164.00;;;;
165.00;;;;
166.00;;;;
167.00;;;;
168.00;;;;
169.00;;;;
170.00;;;;
171.00;;;;
172.00;;;;
173.00;;;;
174.00;;;;
175.00;;;;
176.00;;;;
177.00;;;;
178.00;;;;
179.00;;;;
180.00;;;;
181.00;;;;
182.00;;;;
183.00;;;;
184.00;;;;
185.00;1to2_0;0.00;6.26;0.00
186.00;1to2_0;0.00;6.09;0.00
187.00;1to2_0;6.03;6.03;1.00
187.00;1to2_1;0.00;6.14;0.00
188.00;1to2_0;6.00;6.00;2.00
