step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1;0;1;1;1;0.00;0.00;-1.00;0.00;1;0;0;0.00;0
0;0;0;0;0;1;1;2.02;0.15;-1.00;0.00;1;0;0;1.00;0
0;0;0;0;0;1;1;3.85;0.28;-1.00;0.00;1;0;0;2.00;0
0;0;0;0;0;1;1;6.19;0.45;-1.00;0.00;1;0;0;3.00;0
0;0;0;0;1;2;2;4.36;0.31;-1.00;0.50;2;0;0;4.00;0
0;0;0;0;0;2;2;6.44;0.46;-1.00;0.50;2;0;0;5.00;0
0;0;0;0;0;2;2;8.55;0.62;-1.00;0.50;2;0;0;6.00;0
0;0;0;0;0;2;2;9.53;0.69;-1.00;0.50;2;0;0;7.00;0
0;0;0;0;1;3;3;7.06;0.51;-1.00;0.67;3;0;0;8.00;0
0;0;1;0;0;3;3;8.67;0.62;-1.00;0.67;3;0;0;9.00;0
0;0;0;0;0;3;3;9.08;0.65;-1.00;0.67;3;0;0;10.00;0
0;0;0;0;1;4;4;6.86;0.49;-1.00;0.75;4;0;0;11.00;0
0;0;0;0;0;4;4;7.99;0.58;-1.00;0.75;4;0;0;12.00;0
0;0;0;0;0;4;4;8.96;0.64;-1.00;0.75;4;0;0;13.00;0
0;0;0;0;0;4;4;10.02;0.72;-1.00;0.75;4;0;0;14.00;0
0;0;0;0;1;5;5;8.65;0.62;-1.00;0.80;5;0;0;15.00;0
0;0;0;0;0;5;5;9.32;0.67;-1.00;0.80;5;0;0;16.00;0
0;0;0;0;0;5;5;10.26;0.74;-1.00;0.80;5;0;0;17.00;0
0;0;1;0;1;6;6;8.78;0.63;-1.00;0.67;6;0;0;18.00;0
0;0;0;0;0;6;6;9.34;0.67;-1.00;0.67;6;0;0;19.00;0
0;0;0;0;0;6;6;10.08;0.73;-1.00;0.67;6;0;0;20.00;0
0;0;0;0;0;6;6;11.08;0.80;-1.00;0.67;6;0;0;21.00;0
0;0;0;0;1;7;7;9.45;0.68;-1.00;0.71;7;0;0;22.00;0
0;0;0;0;0;7;7;10.32;0.74;-1.00;0.71;7;0;0;23.00;0
0;0;0;0;0;7;7;10.68;0.77;-1.00;0.71;7;0;0;24.00;0
0;0;0;0;0;7;7;11.14;0.80;-1.00;0.71;7;0;0;25.00;0
0;0;0;0;1;8;8;9.93;0.71;-1.00;0.75;8;0;0;26.00;0
0;0;0;0;0;8;8;10.55;0.76;-1.00;0.75;8;0;0;27.00;0
0;0;0;0;0;8;8;10.92;0.79;-1.00;0.75;8;0;0;28.00;0
0;0;0;0;1;9;9;10.30;0.74;-1.00;0.78;9;0;0;29.00;0
0;0;0;0;0;9;9;10.84;0.78;-1.00;0.78;9;0;0;30.00;0
0;0;0;0;0;9;9;11.02;0.79;-1.00;0.78;9;0;0;31.00;0
0;0;0;0;0;9;9;11.66;0.84;-1.00;0.78;9;0;0;32.00;0
0;0;1;0;1;10;10;10.64;0.77;-1.00;0.80;10;0;0;33.00;0
0;0;0;0;0;10;10;10.96;0.79;-1.00;0.80;10;0;0;34.00;0
0;0;0;0;0;10;10;11.27;0.81;-1.00;0.80;10;0;0;35.00;0
0;0;0;0;1;11;11;10.94;0.79;-1.00;0.73;11;0;0;36.00;0
0;0;0;0;0;11;11;11.17;0.80;-1.00;0.73;11;0;0;37.00;0
0;0;0;0;0;11;11;11.47;0.83;-1.00;0.73;11;0;0;38.00;0
0;0;0;0;0;11;11;11.75;0.85;-1.00;0.73;11;0;0;39.00;0
0;0;1;0;1;12;12;11.10;0.80;-1.00;0.75;12;0;0;40.00;0
0;0;0;0;0;12;12;11.27;0.81;-1.00;0.75;12;0;0;41.00;0
0;0;1;0;0;12;12;11.80;0.85;-1.00;0.75;12;0;0;42.00;0
0;0;0;0;0;12;12;12.13;0.87;-1.00;0.75;12;0;0;43.00;0
0;0;1;0;1;13;13;11.06;0.80;-1.00;0.77;13;0;0;44.00;0
0;0;0;0;0;13;13;11.52;0.83;-1.00;0.77;13;0;0;45.00;0
0;0;0;0;0;13;13;12.02;0.87;-1.00;0.77;13;0;0;46.00;0
0;0;0;0;1;14;14;11.55;0.83;-1.00;0.79;14;0;0;47.00;0
0;0;1;0;0;14;14;12.06;0.87;-1.00;0.79;14;0;0;48.00;0
0;0;0;0;0;14;14;12.29;0.88;-1.00;0.79;14;0;0;49.00;0
0;0;1;0;0;14;14;12.78;0.92;-1.00;0.79;14;0;0;50.00;0
0;0;0;0;1;15;15;11.94;0.86;-1.00;0.80;15;0;0;51.00;0
0;0;0;0;0;15;15;12.35;0.89;-1.00;0.80;15;0;0;52.00;0
0;0;0;0;0;15;15;12.45;0.90;-1.00;0.80;15;0;0;53.00;0
0;0;0;0;1;16;16;11.87;0.85;-1.00;0.75;16;0;0;54.00;0
0;0;0;0;0;16;16;12.34;0.89;-1.00;0.75;16;0;0;55.00;0
0;0;0;0;0;16;16;12.43;0.90;-1.00;0.75;16;0;0;56.00;0
0;0;0;0;0;16;16;12.71;0.92;-1.00;0.75;16;0;0;57.00;0
0;0;1;0;1;17;17;12.19;0.88;-1.00;0.76;17;0;0;58.00;0
0;0;0;0;0;17;17;12.50;0.90;-1.00;0.76;17;0;0;59.00;0
0;0;0;0;0;17;17;12.63;0.91;-1.00;0.76;17;0;0;60.00;0
0;0;0;0;0;17;17;12.79;0.92;-1.00;0.76;17;0;0;61.00;0
0;0;0;0;1;18;18;12.31;0.89;-1.00;0.78;18;0;0;62.00;0
0;0;1;0;0;18;18;12.38;0.89;-1.00;0.78;18;0;0;63.00;0
0;0;0;0;0;18;18;12.61;0.91;-1.00;0.78;18;0;0;64.00;0
0;0;0;0;1;19;19;12.22;0.88;-1.00;0.79;19;0;0;65.00;0
0;0;1;0;0;19;19;12.31;0.89;-1.00;0.79;19;0;0;66.00;0
0;0;0;0;0;19;19;12.41;0.89;-1.00;0.79;19;0;0;67.00;0
0;0;0;0;0;19;19;12.73;0.92;-1.00;0.79;19;0;0;68.00;0
0;0;1;0;1;20;20;12.26;0.88;-1.00;0.80;20;0;0;69.00;0
0;0;0;0;0;20;20;12.37;0.89;-1.00;0.80;20;0;0;70.00;0
0;0;0;0;0;20;20;12.65;0.91;-1.00;0.80;20;0;0;71.00;0
0;0;1;0;1;21;21;12.36;0.89;-1.00;0.76;21;0;0;72.00;0
0;0;0;0;0;21;21;12.44;0.90;-1.00;0.76;21;0;0;73.00;0
0;0;0;0;0;21;21;12.57;0.91;-1.00;0.76;21;0;0;74.00;0
0;0;0;0;0;21;21;12.83;0.92;-1.00;0.76;21;0;0;75.00;0
0;0;1;0;1;22;22;12.41;0.89;-1.00;0.77;22;0;0;76.00;0
0;0;0;0;0;22;22;12.44;0.90;-1.00;0.77;22;0;0;77.00;0
0;0;0;0;0;22;22;12.69;0.91;-1.00;0.77;22;0;0;78.00;0
0;0;0;0;0;22;22;13.02;0.94;-1.00;0.77;22;0;0;79.00;0
0;0;0;0;1;23;23;12.54;0.90;-1.00;0.78;23;0;0;80.00;0
0;0;1;0;0;23;23;12.59;0.91;-1.00;0.78;23;0;0;81.00;0
0;0;0;0;0;23;23;12.75;0.92;-1.00;0.78;23;0;0;82.00;0
0;0;0;0;1;24;24;12.25;0.88;-1.00;0.79;24;0;0;83.00;0
0;0;0;0;0;24;24;12.53;0.90;-1.00;0.79;24;0;0;84.00;0
0;0;0;0;0;24;24;12.53;0.90;-1.00;0.79;24;0;0;85.00;0
0;0;0;0;0;24;24;12.60;0.91;-1.00;0.79;24;0;0;86.00;0
0;0;1;0;1;25;25;12.04;0.87;-1.00;0.80;25;0;0;87.00;0
0;0;0;0;0;25;25;12.23;0.88;-1.00;0.80;25;0;0;88.00;0
0;0;0;0;0;25;25;12.15;0.87;-1.00;0.80;25;0;0;89.00;0
0;0;0;0;1;26;26;11.83;0.85;-1.00;0.77;26;0;0;90.00;0
1;0;0;1;0;26;26;11.92;0.86;91.00;0.77;25;0;0;91.00;0
1;0;0;1;1;26;26;11.96;0.86;91.00;0.77;25;0;0;92.00;0
1;0;0;1;1;26;26;11.75;0.85;91.00;0.77;25;0;0;93.00;0
3;0;0;3;2;27;27;11.10;0.80;88.00;0.78;24;0;0;94.00;0
3;0;0;3;1;27;27;10.94;0.79;88.00;0.78;24;0;0;95.00;0
3;0;0;3;2;27;27;10.82;0.78;88.00;0.78;24;0;0;96.00;0
3;0;0;3;2;27;27;10.86;0.78;88.00;0.78;24;0;0;97.00;0
3;0;1;3;3;28;28;10.32;0.74;88.00;0.79;25;0;0;98.00;0
3;0;0;3;3;28;28;10.29;0.74;88.00;0.79;25;0;0;99.00;0
3;0;0;3;3;28;28;10.16;0.73;88.00;0.79;25;0;0;100.00;0
3;0;0;3;5;29;29;9.52;0.69;88.00;0.79;26;0;0;101.00;0
3;0;0;3;4;29;29;9.49;0.68;88.00;0.79;26;0;0;102.00;0
3;0;0;3;4;29;29;9.53;0.69;88.00;0.79;26;0;0;103.00;0
3;0;0;3;5;29;29;9.67;0.70;88.00;0.79;26;0;0;104.00;0
3;0;0;3;6;30;30;9.39;0.68;88.00;0.80;27;0;0;105.00;0
3;0;0;3;5;30;30;9.35;0.67;88.00;0.80;27;0;0;106.00;0
3;0;0;3;5;30;30;9.34;0.67;88.00;0.80;27;0;0;107.00;0
3;0;1;3;6;31;31;9.16;0.66;88.00;0.77;28;0;0;108.00;0
3;0;1;3;5;31;31;9.25;0.67;88.00;0.77;28;0;0;109.00;0
3;0;1;3;5;31;31;9.25;0.67;88.00;0.77;28;0;0;110.00;0
3;0;0;3;5;31;31;9.16;0.66;88.00;0.77;28;0;0;111.00;0
3;0;0;3;7;32;32;8.88;0.64;88.00;0.78;29;0;0;112.00;0
3;0;0;3;6;32;32;8.99;0.65;88.00;0.78;29;0;0;113.00;0
3;0;0;3;6;32;32;9.04;0.65;88.00;0.78;29;0;0;114.00;0
3;0;0;3;6;32;32;9.14;0.66;88.00;0.78;29;0;0;115.00;0
3;0;0;3;7;33;33;8.81;0.63;88.00;0.79;30;0;0;116.00;0
3;0;0;3;6;33;33;8.92;0.64;88.00;0.79;30;0;0;117.00;0
3;0;0;3;6;33;33;8.92;0.64;88.00;0.79;30;0;0;118.00;0
3;0;1;3;7;34;34;8.89;0.64;88.00;0.79;31;0;0;119.00;0
3;0;0;3;6;34;34;9.01;0.65;88.00;0.79;31;0;0;120.00;0
3;0;0;3;6;34;34;9.07;0.65;88.00;0.79;31;0;0;121.00;0
3;0;1;3;6;34;34;9.11;0.66;88.00;0.79;31;0;0;122.00;0
3;0;1;3;7;35;35;8.96;0.65;88.00;0.80;32;0;0;123.00;0
3;0;0;3;6;35;35;9.00;0.65;88.00;0.80;32;0;0;124.00;0
3;0;0;3;7;35;35;9.03;0.65;88.00;0.80;32;0;0;125.00;0
3;0;0;3;8;36;36;8.76;0.63;88.00;0.78;33;0;0;126.00;0
3;0;0;3;7;36;36;8.77;0.63;88.00;0.78;33;0;0;127.00;0
3;0;0;3;7;36;36;8.86;0.64;88.00;0.78;33;0;0;128.00;0
3;0;0;3;7;36;36;8.89;0.64;88.00;0.78;33;0;0;129.00;0
3;0;0;3;9;37;37;8.51;0.61;88.00;0.78;34;0;0;130.00;0
3;0;0;3;10;37;37;8.30;0.60;88.00;0.78;34;0;0;131.00;0
3;0;0;3;10;37;37;8.06;0.58;88.00;0.78;34;0;0;132.00;0
3;0;0;3;12;37;37;7.88;0.57;88.00;0.78;34;0;0;133.00;0
3;0;0;3;13;38;38;7.64;0.55;88.00;0.79;35;0;0;134.00;0
3;0;0;3;10;38;38;7.68;0.55;88.00;0.79;35;0;0;135.00;0
3;0;0;3;9;38;38;8.19;0.59;88.00;0.79;35;0;0;136.00;0
3;0;1;3;8;39;39;8.10;0.58;88.00;0.79;36;0;0;137.00;0
3;0;1;3;5;39;39;8.47;0.61;88.00;0.79;36;0;0;138.00;0
